undergraduate_gpa,self_reported_gpa,first_review_exp,first_review_sop,first_review_gpa,first_review_lor,second_review_exp,second_review_sop,second_review_gpa,distance_to_campus,program_length,response,academic_condition,age,90041_mi,91601_mi,92122_mi,94607_mi,last_60_90_gpa,graduate_gpa,second_review_lor,sip_score,time_to_finish_application,decision_wait_time,response_time,billing_country_United States,billing_country_blank,ethnicity_Arab/Middle Eastern,ethnicity_Asian/Pacific Islander,ethnicity_Caucasian,ethnicity_Latino/a,ethnicity_Multi-Ethnic,ethnicity_Native American,ethnicity_Unknown,ethnicity_blank,gender_Female,gender_Other,gender_blank,first_generation_Yes,first_generation_blank,campus___cleaned_Orange County Academic Center,campus___cleaned_San Diego Academic Center,campus___cleaned_University Park Campus,campus___cleaned_Virtual Academic Center,campus___cleaned_blank,residency_International,residency_Non Resident,residency_Other,residency_Permanent US Resident,residency_Temporary US Resident,residency_US Citizen,residency_blank,deposit_received_True,temperature_Cold,temperature_Hot,temperature_No Contact,temperature_Warm
3.25,3.21,5,4.0,4.0,4.0,3,4.0,4,111.80806609999999,6.0,0,0,34,115.0416313,122.2902165,9.504526664,456.53287170000004,2.88,3.67,3.0,0,8.0,20.0,17.0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3.25,3.21,4,5.0,3.0,4.0,3,4.0,4,21.24383944,4.0,1,0,28,22.07570626,30.42308491,83.59344245,364.3446125,2.88,3.67,3.0,0,44.0,25.0,7.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
3.25,3.21,4,5.0,4.0,5.0,3,4.0,4,5.3511701160000005,4.0,0,0,29,7.9338024879999995,5.35036058,107.6180111,339.587477,2.88,3.67,3.0,0,10.0,60.0,24.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3.25,3.21,5,5.0,5.0,5.0,3,4.0,4,18.69043623,4.0,0,0,31,27.00197259,28.53620361,89.30601074,358.67913730000004,2.88,4.0,3.0,0,51.0,14.0,108.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3.25,3.21,4,5.0,4.0,4.0,3,4.0,4,19.88369379,4.0,1,0,28,22.91624123,13.16866905,120.7209018,326.6545062,2.88,3.67,3.0,0,9.0,58.0,6.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3.26,3.21,4,4.0,4.0,5.0,3,4.0,4,104.69064870000001,4.0,1,0,28,108.15699520000001,115.22252830000001,4.496702143,449.32321900000005,2.88,3.67,3.0,0,25.0,50.0,7.0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3.26,3.21,3,5.0,4.0,5.0,3,4.0,4,15.82116194,4.0,1,0,27,22.13954537,26.51961919,87.17836159999999,360.016011,2.88,3.67,3.0,0,3.0,72.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3.27,3.21,3,5.0,4.0,5.0,3,4.0,4,100.4407802,6.0,0,0,40,103.7264964,110.92890390000001,2.422294378,445.1643216,2.88,3.67,3.0,0,30.0,27.0,13.0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3.27,3.21,3,5.0,4.0,5.0,3,4.0,4,18.68085415,4.0,1,0,26,24.42592202,29.37756026,84.10994684,363.0698132,2.88,3.67,3.0,0,11.0,61.0,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3.28,3.21,5,4.0,4.0,4.0,3,4.0,4,33.4087501,6.0,0,0,46,32.28585707,41.612548600000004,76.42654518,373.69606769999996,2.88,3.67,3.0,0,50.0,57.0,111.0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
